time,little,alt,latlon,u,t
2022-07-03T19:00,65,49,206,7,53
2022-07-03T20:00,64,32,173,12,46
2022-07-03T21:00,14,6,55,1,20
2022-07-03T22:00,13,12,43,2,18
2022-07-03T23:00,11,3,40,8,30
2022-07-04T00:00,1,1,2,3,8
2022-07-04T01:00,2,0,2,1,7
2022-07-04T02:00,2,1,8,2,10
2022-07-04T03:00,10,8,14,7,48
2022-07-04T04:00,7,4,16,3,11
2022-07-04T05:00,0,0,0,0,0
2022-07-04T06:00,0,0,0,0,0
2022-07-04T07:00,20,19,75,1,10
2022-07-04T08:00,34,31,154,0,15
2022-07-04T09:00,48,20,134,8,1
2022-07-04T10:00,44,33,139,0,18
2022-07-04T11:00,34,22,52,1,2
2022-07-04T12:00,41,31,126,0,9
2022-07-04T13:00,49,35,146,8,19
2022-07-04T14:00,34,38,165,8,50
2022-07-04T15:00,40,34,104,2,25
2022-07-04T16:00,37,26,157,4,37
2022-07-04T17:00,41,24,164,4,4
2022-07-04T18:00,48,40,152,0,23
2022-07-04T19:00,43,43,129,5,6
2022-07-04T20:00,45,34,115,4,40
2022-07-04T21:00,15,6,37,1,18
2022-07-04T22:00,7,7,20,2,6
2022-07-04T23:00,9,3,12,2,31
2022-07-05T00:00,3,3,7,0,0
2022-07-05T01:00,1,1,4,2,0
2022-07-05T02:00,7,4,23,0,16
2022-07-05T03:00,7,3,10,8,27
2022-07-05T04:00,0,1,0,0,0
2022-07-05T05:00,3,3,6,1,9
2022-07-05T06:00,6,7,13,0,0
2022-07-05T07:00,44,25,121,5,37
2022-07-05T08:00,64,54,168,0,24
2022-07-05T09:00,58,33,192,16,13
2022-07-05T10:00,73,67,217,3,10
2022-07-05T11:00,45,33,132,11,25
2022-07-05T12:00,49,36,121,5,20
2022-07-05T13:00,54,44,187,6,8
2022-07-05T14:00,39,20,130,4,23
2022-07-05T15:00,44,37,99,1,12
2022-07-05T16:00,34,9,101,0,3
2022-07-05T17:00,34,28,80,1,14
2022-07-05T18:00,50,37,73,2,10
2022-07-05T19:00,45,31,131,2,29
2022-07-05T20:00,45,34,94,3,24
2022-07-05T21:00,21,10,44,0,26
2022-07-05T22:00,9,3,20,6,13
2022-07-05T23:00,9,3,41,4,14
2022-07-06T00:00,0,0,0,0,0
2022-07-06T01:00,1,1,4,1,6
2022-07-06T02:00,0,0,0,0,0
2022-07-06T03:00,5,1,17,1,13
2022-07-06T04:00,1,1,5,1,6
2022-07-06T05:00,1,1,1,1,7
2022-07-06T06:00,12,8,9,0,16
2022-07-06T07:00,29,23,109,3,32
2022-07-06T08:00,65,35,131,0,16
2022-07-06T09:00,64,48,214,4,43
2022-07-06T10:00,70,37,197,3,29
2022-07-06T11:00,49,32,112,0,14
2022-07-06T12:00,48,32,207,6,21
2022-07-06T13:00,68,36,298,11,35
2022-07-06T14:00,52,32,286,5,22
2022-07-06T15:00,43,21,200,1,7
2022-07-06T16:00,48,25,154,4,53
2022-07-06T17:00,42,33,182,0,33
2022-07-06T18:00,59,51,179,0,15
2022-07-06T19:00,32,19,82,2,10
2022-07-06T20:00,26,21,54,0,12
2022-07-06T21:00,17,13,79,7,0
2022-07-06T22:00,12,8,25,2,15
2022-07-06T23:00,11,6,51,9,33
2022-07-07T00:00,1,0,0,0,0
2022-07-07T01:00,0,0,0,0,0
2022-07-07T02:00,6,4,13,3,11
2022-07-07T03:00,0,0,0,0,0
2022-07-07T04:00,1,0,0,0,0
2022-07-07T05:00,2,1,3,1,8
2022-07-07T06:00,4,3,6,0,8
2022-07-07T07:00,35,33,123,0,16
2022-07-07T08:00,52,29,149,4,21
2022-07-07T09:00,64,41,220,0,20
2022-07-07T10:00,64,63,168,5,11
2022-07-07T11:00,40,26,95,6,0
2022-07-07T12:00,41,21,107,0,11
2022-07-07T13:00,51,37,123,6,26
2022-07-07T14:00,64,42,224,1,36
2022-07-07T15:00,48,34,128,6,9
2022-07-07T16:00,36,26,152,0,13
2022-07-07T17:00,44,25,170,2,14
2022-07-07T18:00,38,23,117,0,18
2022-07-07T19:00,51,27,173,13,24
2022-07-07T20:00,44,25,151,0,18
2022-07-07T21:00,24,15,73,4,8
2022-07-07T22:00,14,6,63,0,6
2022-07-07T23:00,11,6,47,1,9
2022-07-08T00:00,1,1,3,0,9
2022-07-08T01:00,0,2,0,0,9
2022-07-08T02:00,11,2,25,1,33
2022-07-08T03:00,1,0,0,0,0
2022-07-08T04:00,1,0,11,0,8
2022-07-08T05:00,3,1,10,0,1
2022-07-08T06:00,4,2,11,0,0
2022-07-08T07:00,34,22,100,3,22
2022-07-08T08:00,44,22,128,0,20
2022-07-08T09:00,52,33,175,5,19
2022-07-08T10:00,59,33,128,3,25
2022-07-08T11:00,40,29,85,4,6
2022-07-08T12:00,43,28,135,8,4
2022-07-08T13:00,57,37,143,3,11
2022-07-08T14:00,39,23,126,1,8
2022-07-08T15:00,44,30,114,4,16
2022-07-08T16:00,37,27,99,1,24
2022-07-08T17:00,59,34,158,1,30
2022-07-08T18:00,48,37,124,5,27
2022-07-08T19:00,50,27,170,3,25
2022-07-08T20:00,49,42,180,1,7
2022-07-08T21:00,17,9,51,0,13
2022-07-08T22:00,11,10,44,3,16
2022-07-08T23:00,11,7,49,3,14
2022-07-09T00:00,1,2,3,0,7
2022-07-09T01:00,10,4,14,2,23
2022-07-09T02:00,3,1,7,5,10
2022-07-09T03:00,7,6,10,4,29
2022-07-09T04:00,6,6,3,0,0
2022-07-09T05:00,3,0,0,0,0
2022-07-09T06:00,2,3,5,0,9
2022-07-09T07:00,35,30,107,3,45
2022-07-09T08:00,59,36,160,4,37
2022-07-09T09:00,49,30,170,2,19
2022-07-09T10:00,69,40,222,0,24
2022-07-09T11:00,46,22,160,4,0
2022-07-09T12:00,48,31,211,2,33
2022-07-09T13:00,39,22,127,0,31
2022-07-09T14:00,29,10,167,5,72
2022-07-09T15:00,31,26,181,1,39
2022-07-09T16:00,35,15,214,10,24
2022-07-09T17:00,38,28,173,6,19
2022-07-09T18:00,44,39,226,4,11
2022-07-09T18:00,44,39,226,4,11
2022-07-09T19:00,30,28,206,0,20
2022-07-09T20:00,53,56,195,5,25
2022-07-09T21:00,26,13,54,6,17
2022-07-09T22:00,12,5,39,8,36
2022-07-09T23:00,4,2,23,0,4
2022-07-10T00:00,2,1,5,2,7
2022-07-10T01:00,3,2,11,2,4
2022-07-10T02:00,3,1,4,0,1
2022-07-10T03:00,3,2,4,2,31
2022-07-10T04:00,0,0,0,0,0
2022-07-10T05:00,0,0,0,0,0
2022-07-10T06:00,12,13,19,1,28
2022-07-10T07:00,34,24,150,1,23
2022-07-10T08:00,55,38,228,0,22
2022-07-10T09:00,67,37,263,12,34
2022-07-10T10:00,82,58,249,6,36
2022-07-10T11:00,60,57,169,7,29
2022-07-10T12:00,51,25,173,0,4
2022-07-10T13:00,57,39,207,15,32
2022-07-10T14:00,49,31,175,0,16
2022-07-10T15:00,53,50,176,1,13
2022-07-10T16:00,38,26,140,7,7
2022-07-10T17:00,52,44,164,2,43
2022-07-10T18:00,52,37,267,0,32
2022-07-10T19:00,50,21,165,4,56
2022-07-10T20:00,46,27,150,4,77
2022-07-10T21:00,15,11,79,0,13
2022-07-10T22:00,10,7,36,0,33
2022-07-10T23:00,5,0,40,0,0
2022-07-11T00:00,0,0,0,0,0
2022-07-11T01:00,2,2,4,0,0
2022-07-11T02:00,12,5,29,9,34
2022-07-11T03:00,2,1,12,0,3
2022-07-11T04:00,1,1,2,1,10
2022-07-11T05:00,0,0,0,0,0
2022-07-11T06:00,6,2,26,1,2
2022-07-11T07:00,22,21,85,9,58
2022-07-11T08:00,50,19,140,0,11
2022-07-11T09:00,46,33,143,13,17
2022-07-11T10:00,57,35,187,1,35
2022-07-11T11:00,33,16,67,2,17
2022-07-11T12:00,43,30,140,4,4
2022-07-11T13:00,44,29,178,10,20
2022-07-11T14:00,41,21,104,0,4
2022-07-11T15:00,38,19,96,4,14
2022-07-11T16:00,41,19,83,1,25
2022-07-11T17:00,38,21,156,0,11
2022-07-11T18:00,37,28,123,4,19
2022-07-11T19:00,40,26,136,2,43
2022-07-11T20:00,32,22,102,3,46
2022-07-11T21:00,17,12,55,0,40
2022-07-11T22:00,11,3,20,1,15
2022-07-11T23:00,4,1,27,3,0
2022-07-12T00:00,5,0,6,2,17
2022-07-12T01:00,0,0,0,0,0
2022-07-12T02:00,7,2,6,8,31
2022-07-12T03:00,7,2,12,2,40
2022-07-12T04:00,1,1,1,4,9
2022-07-12T05:00,0,0,0,0,0
2022-07-12T06:00,3,4,17,0,11
2022-07-12T07:00,29,20,96,0,49
2022-07-12T08:00,47,25,173,1,12
2022-07-12T09:00,44,32,196,8,33
2022-07-12T10:00,64,38,215,1,66
2022-07-12T11:00,36,15,100,1,15
2022-07-12T12:00,45,34,94,1,28
2022-07-12T13:00,54,39,178,5,48
2022-07-12T14:00,41,28,161,4,27
2022-07-12T15:00,38,23,130,11,10
2022-07-12T16:00,34,30,121,0,13
2022-07-12T17:00,30,14,79,1,32
2022-07-12T18:00,28,12,89,3,2
2022-07-12T19:00,30,18,155,3,23
2022-07-12T20:00,44,34,121,5,24
2022-07-12T21:00,14,11,60,0,13
2022-07-12T22:00,7,7,8,0,0
2022-07-12T23:00,2,0,15,3,2
2022-07-13T00:00,2,1,2,0,6
2022-07-13T01:00,2,1,15,0,15
2022-07-13T02:00,9,6,17,0,19
2022-07-13T03:00,0,0,0,0,0
2022-07-13T04:00,0,0,0,0,0
2022-07-13T05:00,2,1,1,0,4
2022-07-13T06:00,10,4,23,4,10
2022-07-13T07:00,21,17,90,3,45
2022-07-13T08:00,33,16,110,0,23
2022-07-13T09:00,53,29,205,7,34
2022-07-13T10:00,64,27,204,5,14
2022-07-13T11:00,37,24,119,3,30
2022-07-13T12:00,45,16,164,10,23
2022-07-13T13:00,37,22,149,0,21
2022-07-13T14:00,36,26,154,6,18
2022-07-13T15:00,34,34,103,2,5
2022-07-13T16:00,32,19,145,2,0
2022-07-13T17:00,42,27,172,6,18
2022-07-13T18:00,40,29,104,8,22
2022-07-13T19:00,47,26,137,2,43
2022-07-13T20:00,41,23,111,4,33
2022-07-13T21:00,13,6,38,0,15
2022-07-13T22:00,15,9,76,6,26
2022-07-13T23:00,9,2,56,4,10
2022-07-14T00:00,1,2,2,0,0
2022-07-14T01:00,0,0,0,0,0
2022-07-14T02:00,4,2,6,1,21
2022-07-14T03:00,6,2,7,6,18
2022-07-14T04:00,2,2,6,0,15
2022-07-14T05:00,5,2,12,1,26
2022-07-14T06:00,5,3,9,0,12
2022-07-14T07:00,32,22,111,5,32
2022-07-14T08:00,43,20,189,0,8
2022-07-14T09:00,49,25,147,0,23
2022-07-14T10:00,53,28,170,0,38
2022-07-14T11:00,39,16,115,3,13
2022-07-14T12:00,30,18,148,3,29
2022-07-14T13:00,44,24,157,5,39
2022-07-14T14:00,45,21,155,1,22
2022-07-14T15:00,48,34,141,4,11
2022-07-14T16:00,35,18,129,8,28
2022-07-14T17:00,47,28,171,5,33
2022-07-14T18:00,38,26,102,8,6
2022-07-14T19:00,50,30,144,5,32
2022-07-14T20:00,42,36,162,1,21
2022-07-14T21:00,23,13,92,3,13
2022-07-14T22:00,9,10,25,1,13
2022-07-14T23:00,8,5,43,9,15
2022-07-15T00:00,4,1,8,0,7
2022-07-15T01:00,3,3,4,4,21
2022-07-15T02:00,4,4,10,0,15
2022-07-15T03:00,12,4,23,5,33
2022-07-15T04:00,2,0,0,0,10
2022-07-15T05:00,1,0,2,0,6
2022-07-15T06:00,7,3,14,1,17
2022-07-15T07:00,31,16,66,3,16
2022-07-15T08:00,67,31,228,6,36
2022-07-15T09:00,53,38,256,5,10
2022-07-15T10:00,80,46,188,0,19
2022-07-15T11:00,47,23,163,8,19
2022-07-15T12:00,70,48,225,0,9
2022-07-15T13:00,51,34,222,5,49
2022-07-15T14:00,59,30,239,3,53
2022-07-15T15:00,46,30,160,10,21
2022-07-15T16:00,34,20,104,5,7
2022-07-15T17:00,46,44,211,6,47
2022-07-15T18:00,36,27,157,2,9
2022-07-15T19:00,39,29,188,2,33
2022-07-15T20:00,44,44,160,12,35
2022-07-15T21:00,30,22,89,0,9
2022-07-15T22:00,21,19,46,2,49
2022-07-15T23:00,12,5,42,6,7
2022-07-16T00:00,6,2,16,0,4
2022-07-16T01:00,5,2,3,1,4
2022-07-16T02:00,3,1,0,0,0
2022-07-16T03:00,0,0,0,0,0
2022-07-16T04:00,0,0,0,0,0
2022-07-16T05:00,2,1,2,1,6
2022-07-16T06:00,2,2,4,0,2
2022-07-16T07:00,25,26,95,2,40
2022-07-16T08:00,44,21,147,4,36
2022-07-16T09:00,46,17,171,7,20
2022-07-16T10:00,62,39,221,5,25
2022-07-16T11:00,72,47,282,4,24
2022-07-16T12:00,48,36,247,0,28
2022-07-16T13:00,52,33,203,6,28
2022-07-16T14:00,48,33,237,4,27
2022-07-16T15:00,42,39,173,0,13
2022-07-16T16:00,56,43,157,4,17
2022-07-16T17:00,46,34,245,3,27
2022-07-16T18:00,59,36,215,4,11
2022-07-16T19:00,51,35,284,10,36
2022-07-16T20:00,48,40,151,3,22
2022-07-16T21:00,37,23,110,6,26
2022-07-16T22:00,9,3,29,3,11
2022-07-16T23:00,9,2,36,1,9
2022-07-17T00:00,7,9,13,3,12
2022-07-17T01:00,11,4,25,9,17
2022-07-17T02:00,6,1,20,3,25
2022-07-17T03:00,6,4,20,1,32
2022-07-17T04:00,1,0,3,0,8
2022-07-17T05:00,0,0,0,0,0
2022-07-17T06:00,1,1,11,0,2
2022-07-17T07:00,17,11,54,7,26
2022-07-17T08:00,20,11,100,2,13
2022-07-17T09:00,26,19,123,7,37
2022-07-17T10:00,49,32,166,9,24
2022-07-17T11:00,35,24,127,8,26
2022-07-17T12:00,38,39,168,1,19
2022-07-17T13:00,36,21,146,2,10
2022-07-17T14:00,32,18,93,4,9
2022-07-17T15:00,31,27,138,0,27
2022-07-17T16:00,46,37,181,6,10
2022-07-17T17:00,49,35,181,7,32
2022-07-17T18:00,53,52,133,9,17
2022-07-17T19:00,53,37,137,3,27
2022-07-17T20:00,43,30,125,6,26
2022-07-17T21:00,19,14,105,3,17
2022-07-17T22:00,15,9,37,6,30
2022-07-17T23:00,4,3,38,2,15
2022-07-18T00:00,0,0,0,0,0
2022-07-18T01:00,0,0,0,0,0
2022-07-18T02:00,2,2,9,0,11
2022-07-18T03:00,13,10,31,5,65
2022-07-18T04:00,4,2,12,2,26
2022-07-18T05:00,3,1,16,0,0
2022-07-18T06:00,7,7,16,2,7
2022-07-18T07:00,36,35,172,7,39
2022-07-18T08:00,79,53,214,0,11
2022-07-18T09:00,54,32,152,0,22
2022-07-18T10:00,65,42,232,1,19
2022-07-18T11:00,32,26,97,2,13
2022-07-18T12:00,46,39,126,3,35
2022-07-18T13:00,59,40,176,7,47
2022-07-18T14:00,49,21,96,6,20
2022-07-18T15:00,34,27,72,8,31
2022-07-18T16:00,38,18,182,8,0
2022-07-18T17:00,48,34,165,9,40
2022-07-18T18:00,57,41,143,8,1
2022-07-18T19:00,52,35,179,3,20
2022-07-18T20:00,59,57,208,4,25
2022-07-18T21:00,18,10,58,0,32
2022-07-18T22:00,11,12,52,2,2
2022-07-18T23:00,8,5,35,2,23
2022-07-19T00:00,2,3,7,3,4
2022-07-19T01:00,1,1,4,1,0
2022-07-19T02:00,4,2,25,0,5
2022-07-19T03:00,12,9,31,10,24
2022-07-19T04:00,9,4,31,4,35
2022-07-19T05:00,2,3,2,0,6
2022-07-19T06:00,7,4,14,2,8
2022-07-19T07:00,33,19,89,3,59
2022-07-19T08:00,56,32,129,8,28
2022-07-19T09:00,60,30,254,17,46
2022-07-19T10:00,70,34,219,12,45
2022-07-19T11:00,45,29,127,8,0
2022-07-19T12:00,62,39,177,7,27
2022-07-19T13:00,44,24,162,2,10
2022-07-19T14:00,49,43,253,10,12
2022-07-19T15:00,57,34,216,15,23
2022-07-19T16:00,48,32,138,0,11
2022-07-19T17:00,35,16,155,3,5
2022-07-19T18:00,65,47,233,9,22
2022-07-19T19:00,49,22,182,1,44
2022-07-19T20:00,41,17,108,0,4
2022-07-19T21:00,21,10,71,4,8
2022-07-19T22:00,12,6,31,3,32
2022-07-19T23:00,6,6,14,0,0
2022-07-20T00:00,6,5,12,0,29
2022-07-20T01:00,5,2,4,3,16
2022-07-20T02:00,5,3,8,9,32
2022-07-20T03:00,11,3,23,7,45
2022-07-20T04:00,4,6,12,1,19
2022-07-20T05:00,5,3,9,1,1
2022-07-20T06:00,15,10,20,4,14
2022-07-20T07:00,29,23,132,0,40
2022-07-20T08:00,53,39,116,0,26
2022-07-20T09:00,60,52,223,5,11
2022-07-20T10:00,65,25,240,3,13
2022-07-20T11:00,41,23,113,3,17
2022-07-20T12:00,49,39,174,8,25
2022-07-20T13:00,53,32,158,0,21
2022-07-20T14:00,53,19,158,8,42
2022-07-20T15:00,42,36,144,5,22
2022-07-20T16:00,47,33,139,6,11
2022-07-20T17:00,40,27,150,0,18
2022-07-20T18:00,47,35,158,2,26
2022-07-20T19:00,65,45,155,7,33
2022-07-20T20:00,41,38,133,1,38
2022-07-20T21:00,15,13,98,5,29
2022-07-20T22:00,12,6,41,3,17
2022-07-20T23:00,5,1,32,1,15
2022-07-21T00:00,4,6,3,1,10
2022-07-21T01:00,13,9,32,7,31
2022-07-21T02:00,3,3,4,3,10
2022-07-21T03:00,12,9,47,6,80
2022-07-21T04:00,1,2,0,1,20
2022-07-21T05:00,4,2,9,0,17
2022-07-21T06:00,5,8,8,3,6
2022-07-21T07:00,33,22,147,6,24
2022-07-21T08:00,55,28,132,0,30
2022-07-21T09:00,65,40,169,5,16
2022-07-21T10:00,59,48,164,2,22
2022-07-21T11:00,39,16,81,3,15
2022-07-21T12:00,44,28,166,2,21
2022-07-21T13:00,48,29,123,0,11
2022-07-21T14:00,55,51,165,5,31
2022-07-21T15:00,54,46,225,0,18
2022-07-21T16:00,43,27,150,0,2
2022-07-21T17:00,51,35,225,8,10
2022-07-21T18:00,55,29,190,0,21
2022-07-21T19:00,68,34,143,2,25
2022-07-21T20:00,39,36,148,3,18
2022-07-21T21:00,0,0,0,0,0
2022-08-07T00:00,0,0,0,0,0
2022-08-07T01:00,0,0,0,0,0
2022-08-07T02:00,0,0,0,0,0
2022-08-07T03:00,0,0,0,0,0
2022-08-07T04:00,0,0,0,0,0
2022-08-07T05:00,0,0,0,0,0
2022-08-07T06:00,0,0,0,0,0
2022-08-07T07:00,0,0,0,0,0
2022-08-07T08:00,0,0,0,0,0
2022-08-07T09:00,0,0,0,0,0
2022-08-07T10:00,0,0,0,0,0
2022-08-07T11:00,0,0,0,0,0
2022-08-07T12:00,0,0,0,0,0
2022-08-07T13:00,0,0,0,0,0
2022-08-07T14:00,0,0,0,0,0
2022-08-07T15:00,0,0,0,0,0
2022-08-07T16:00,0,0,0,0,0
2022-08-07T17:00,0,0,0,0,0
2022-08-07T18:00,0,0,0,0,0
2022-08-07T19:00,0,0,0,0,0
2022-08-07T20:00,0,0,0,0,0
2022-08-07T21:00,0,0,0,0,0
2022-08-07T22:00,0,0,0,0,0
2022-08-07T23:00,0,0,0,0,0
2022-08-08T00:00,0,0,0,0,0
2022-08-08T01:00,0,0,0,0,0
2022-08-08T02:00,0,0,0,0,0
2022-08-08T03:00,0,0,0,0,0
2022-08-08T04:00,0,0,0,0,0
2022-08-08T05:00,0,0,0,0,0
2022-08-08T06:00,0,0,0,0,0
2022-08-08T07:00,0,0,0,0,0
2022-08-08T08:00,0,0,0,0,0
2022-08-08T09:00,0,0,0,0,0
2022-08-08T10:00,0,0,0,0,0
2022-08-08T11:00,0,0,0,0,0
2022-08-08T12:00,0,0,0,0,0
2022-08-08T13:00,0,0,0,0,0
2022-08-08T14:00,0,0,0,0,0
2022-08-08T15:00,0,0,0,0,0
2022-08-08T16:00,0,0,0,0,0
2022-08-08T17:00,0,0,0,0,0
2022-08-08T18:00,0,0,0,0,0
2022-08-08T19:00,0,0,0,0,0
2022-08-08T20:00,0,0,0,0,0
2022-08-08T21:00,0,0,0,0,0
2022-08-08T22:00,0,0,0,0,0
2022-08-08T23:00,0,0,0,0,0
2022-08-09T00:00,0,0,0,0,0
2022-08-09T01:00,0,0,0,0,0
2022-08-09T02:00,0,0,0,0,0
2022-08-09T03:00,0,0,0,0,0
2022-08-09T04:00,0,0,0,0,0
2022-08-09T05:00,0,0,0,0,0
2022-08-09T06:00,0,0,0,0,0
2022-08-09T07:00,0,0,0,0,0
2022-08-09T08:00,0,0,0,0,0
2022-08-09T09:00,0,0,0,0,0
2022-08-09T10:00,0,0,0,0,0
2022-08-09T11:00,0,0,0,0,0
2022-08-09T12:00,0,0,0,0,0
2022-08-09T13:00,0,0,0,0,0
2022-08-09T14:00,0,0,0,0,0
2022-08-09T15:00,0,0,0,0,0
2022-08-09T16:00,0,0,0,0,0
2022-08-09T17:00,0,0,0,0,0
2022-08-09T18:00,0,0,0,0,0
2022-08-09T19:00,0,0,0,0,0
2022-08-09T20:00,0,0,0,0,0
2022-08-09T21:00,0,0,0,0,0
2022-08-09T22:00,0,0,0,0,0
2022-08-09T23:00,0,0,0,0,0
2022-08-10T00:00,0,0,0,0,0
2022-08-10T01:00,0,0,0,0,0
2022-08-10T02:00,0,0,0,0,0
2022-08-10T03:00,0,0,0,0,0
2022-08-10T04:00,0,0,0,0,0
2022-08-10T05:00,0,0,0,0,0
2022-08-10T06:00,0,0,0,0,0
2022-08-10T07:00,0,0,0,0,0
2022-08-10T08:00,0,0,0,0,0
2022-08-10T09:00,0,0,0,0,0
2022-08-10T10:00,0,0,0,0,0
2022-08-10T11:00,0,0,0,0,0
2022-08-10T12:00,0,0,0,0,0
2022-08-10T13:00,0,0,0,0,0
2022-08-10T14:00,0,0,0,0,0
2022-08-10T15:00,0,0,0,0,0
2022-08-10T16:00,0,0,0,0,0
2022-08-10T17:00,0,0,0,0,0
2022-08-10T18:00,0,0,0,0,0
2022-08-10T19:00,0,0,0,0,0
2022-08-10T20:00,0,0,0,0,0
2022-08-10T21:00,0,0,0,0,0
2022-08-10T22:00,0,0,0,0,0
2022-08-10T23:00,0,0,0,0,0
2022-08-11T00:00,0,0,0,0,0
2022-08-11T01:00,0,0,0,0,0
2022-08-11T02:00,0,0,0,0,0
2022-08-11T03:00,0,0,0,0,0
2022-08-11T04:00,0,0,0,0,0
2022-08-11T05:00,0,0,0,0,0
2022-08-11T06:00,0,0,0,0,0
2022-08-11T07:00,0,0,0,0,0
2022-08-11T08:00,0,0,0,0,0
2022-08-11T09:00,0,0,0,0,0
2022-08-11T10:00,0,0,0,0,0
2022-08-11T11:00,0,0,0,0,0
2022-08-11T12:00,0,0,0,0,0
2022-08-11T13:00,0,0,0,0,0
2022-08-11T14:00,0,0,0,0,0
2022-08-11T15:00,0,0,0,0,0
2022-08-11T16:00,0,0,0,0,0
2022-08-11T17:00,0,0,0,0,0
2022-08-11T18:00,0,0,0,0,0
2022-08-11T19:00,0,0,0,0,0
2022-08-11T20:00,0,0,0,0,0
2022-08-11T21:00,0,0,0,0,0
2022-08-11T22:00,0,0,0,0,0
2022-08-11T23:00,0,0,0,0,0
2022-08-12T00:00,0,0,0,0,0
2022-08-12T01:00,0,0,0,0,0
2022-08-12T02:00,0,0,0,0,0
2022-08-12T03:00,0,0,0,0,0
2022-08-12T04:00,0,0,0,0,0
2022-08-12T05:00,0,0,0,0,0
2022-08-12T06:00,0,0,0,0,0
2022-08-12T07:00,0,0,0,0,0
2022-08-12T08:00,0,0,0,0,0
2022-08-12T09:00,0,0,0,0,0
2022-08-12T10:00,0,0,0,0,0
2022-08-12T11:00,0,0,0,0,0
2022-08-12T12:00,0,0,0,0,0
2022-08-12T13:00,0,0,0,0,0
2022-08-12T14:00,0,0,0,0,0
2022-08-12T15:00,0,0,0,0,0
2022-08-12T16:00,0,0,0,0,0
2022-08-12T17:00,0,0,0,0,0
2022-08-12T18:00,0,0,0,0,0
2022-08-12T19:00,0,0,0,0,0
2022-08-12T20:00,0,0,0,0,0
2022-08-12T21:00,0,0,0,0,0
2022-08-12T22:00,22,15,54,6,40
2022-08-12T23:00,14,6,39,7,18
2022-08-13T00:00,4,5,13,5,30
2022-08-13T01:00,5,7,9,0,42
2022-08-13T02:00,11,4,26,5,33
2022-08-13T03:00,8,3,22,4,28
2022-08-13T04:00,4,2,11,3,18
2022-08-13T05:00,3,1,0,1,10
2022-08-13T06:00,9,3,55,0,8
2022-08-13T07:00,46,24,337,11,65
2022-08-13T08:00,67,29,458,3,59
2022-08-13T09:00,45,21,312,4,23
2022-08-13T10:00,56,32,399,5,20
2022-08-13T11:00,40,19,268,3,18
2022-08-13T12:00,32,26,175,1,12
2022-08-13T13:00,52,35,317,5,23
2022-08-13T14:00,44,17,240,4,53
2022-08-13T15:00,48,35,203,3,15
2022-08-13T16:00,76,34,279,10,76
2022-08-13T17:00,39,24,242,5,45
2022-08-13T18:00,38,23,158,5,82
2022-08-13T19:00,27,20,164,13,55
2022-08-13T20:00,27,18,94,4,51
2022-08-13T21:00,20,11,46,1,31
2022-08-13T22:00,0,0,0,0,2
2022-08-13T23:00,10,4,32,1,55
2022-08-14T00:00,8,1,0,1,23
2022-08-14T01:00,7,3,20,2,69
2022-08-14T02:00,3,3,4,3,12
2022-08-14T03:00,13,10,32,5,77
2022-08-14T04:00,4,2,4,0,12
2022-08-14T05:00,4,1,10,0,14
2022-08-14T06:00,7,3,10,2,32
2022-08-14T07:00,28,17,180,2,111
2022-08-14T08:00,62,40,316,1,70
2022-08-14T09:00,59,49,270,6,61
2022-08-14T10:00,69,59,301,15,131
2022-08-14T11:00,77,52,328,13,115
2022-08-14T12:00,30,22,167,5,29
2022-08-14T14:00,31,14,184,0,15
2022-08-14T15:00,55,33,201,3,50
2022-08-14T16:00,46,36,165,3,13
2022-08-14T17:00,57,57,220,6,30
2022-08-14T18:00,57,33,274,0,71
2022-08-14T19:00,58,43,249,7,65
2022-08-14T20:00,51,34,257,14,37
2022-08-14T21:00,25,17,103,4,69
2022-08-14T22:00,12,6,55,0,18
2022-08-14T23:00,10,1,44,5,26
2022-08-15T00:00,3,2,5,0,22
2022-08-15T01:00,4,0,11,1,15
2022-08-15T02:00,2,3,14,1,31
2022-08-15T03:00,7,4,20,0,21
2022-08-15T04:00,2,1,5,1,7
2022-08-15T05:00,2,2,3,1,6
2022-08-15T09:00,2,2,3,1,6
2022-08-15T09:00,2,2,3,1,6
2022-08-15T09:00,2,2,3,1,6
2022-08-15T09:00,2,2,3,1,6
2022-08-15T10:00,41,15,122,0,44
2022-08-15T11:00,44,28,169,2,58
2022-08-15T12:00,52,27,224,4,76
2022-08-15T13:00,31,15,126,7,57
2022-08-15T14:00,38,23,218,1,45
2022-08-15T15:00,46,37,261,5,48
2022-08-15T16:00,47,26,219,0,50
2022-08-15T17:00,48,34,333,1,39
2022-08-15T18:00,56,36,247,0,41
2022-08-15T19:00,55,27,224,7,82
2022-08-15T20:00,41,25,130,5,98
2022-08-15T21:00,19,11,101,9,58
2022-08-15T22:00,13,4,50,3,60
2022-08-15T23:00,6,4,25,1,17
2022-08-16T00:00,1,1,1,0,11
2022-08-16T01:00,2,2,9,0,11
2022-08-16T02:00,4,4,7,0,29
2022-08-16T03:00,7,5,8,3,18
2022-08-16T04:00,5,3,9,0,32
2022-08-16T05:00,3,4,13,7,21
2022-08-16T06:00,3,2,19,0,5
2022-08-16T12:00,47,27,250,5,59
2022-08-16T13:00,59,35,245,0,60
2022-08-16T14:00,60,30,305,20,37
2022-08-16T15:00,50,31,189,9,32
2022-08-16T16:00,55,30,213,6,55
2022-08-16T17:00,49,21,230,3,69
2022-08-16T18:00,49,27,260,8,62
